Country,2018
China,9663.36
United States,4749.57
European Union (27),2636.99
India,2400.25
Indonesia,1269.55
Japan,1074.08
Russia,1049.05
Brazil,812.02
Germany,680.06
Iran,629.35
Canada,609.67
Democratic Republic of the Congo,603.57
South Korea,585.07
Saudi Arabia,514.6
Mexico,486.58
South Africa,439.8
Australia,388.81
Turkey,384.32
United Kingdom,347.84
Malaysia,319.59
Italy,312.03
Poland,279.83
Thailand,270.9
France,247.98
Egypt,246.45
Vietnam,245.36
Spain,244.45
Kazakhstan,217.46
Pakistan,215.37
Argentina,207.11
United Arab Emirates,200.3
Iraq,188.64
Venezuela,181.29
Nigeria,176.66
Ukraine,173.18
Colombia,162.46
Netherlands,152.52
Algeria,151.87
Philippines,144.7
Peru,144.07
Myanmar,136.92
Uzbekistan,108.72
Bangladesh,104.5
Zimbabwe,99.43
Czech Republic,96.66
Belgium,93.63
Qatar,90.17
Bolivia,90.09
Kuwait,89.45
Tanzania,75.68
Oman,73.39
Turkmenistan,71.73
Greece,66.68
Ecuador,65.68
Morocco,64.74
Angola,62.93
Israel,62.05
Mozambique,59.47
Libya,58.94
Austria,56.06
Paraguay,54.4
Romania,52.0
Finland,51.3
Portugal,50.07
Botswana,49.54
Papua New Guinea,48.46
Hungary,48.28
Ethiopia,48.0
Singapore,47.39
Solomon Islands,45.78
Serbia,45.45
Cameroon,42.38
Sudan,41.2
Zambia,40.47
Cambodia,40.16
Belarus,37.8
C̫te d'Ivoire,36.55
Switzerland,35.23
Ireland,34.32
Denmark,34.23
Slovakia,31.93
Bahrain,30.75
Azerbaijan,30.1
Chile,28.75
Burkina Faso,28.37
Syria,27.92
Lebanon,27.63
Laos,27.46
Tunisia,26.19
Nicaragua,24.72
Jordan,24.7
Mongolia,24.42
Chad,24.4
Dominican Republic,23.56
Sri Lanka,23.54
Uganda,21.95
Cuba,21.92
New Zealand,21.59
Guatemala,21.48
North Korea,21.41
Bosnia and Herzegovina,20.81
Sweden,19.68
Benin,18.62
Norway,18.43
Somalia,18.04
Estonia,17.96
Trinidad and Tobago,17.88
Guyana,16.51
Guinea,15.35
Honduras,15.3
Nepal,14.97
Namibia,14.81
Liberia,14.76
Panama,14.53
Slovenia,14.39
Central African Republic,14.31
Senegal,14.19
Republic of Congo,13.69
Madagascar,13.49
Croatia,12.24
Suriname,11.44
Gabon,11.08
Lithuania,10.95
Kenya,10.78
Equatorial Guinea,10.51
South Sudan,10.28
Malawi,9.71
Georgia,9.46
Yemen,9.31
Luxembourg,9.04
Moldova,8.7
Jamaica,8.69
El Salvador,7.89
Kyrgyzstan,7.73
Afghanistan,7.59
Brunei,7.47
Macedonia,7.37
Bulgaria,7.32
Tajikistan,7.2
Cyprus,6.98
Belize,5.92
Mali,5.62
Armenia,5.59
Albania,5.32
Latvia,4.85
Uruguay,4.75
Sierra Leone,4.36
Mauritius,4.11
Burundi,4.07
Haiti,3.96
Niger,3.53
Togo,3.07
Mauritania,2.92
Rwanda,2.73
Lesotho,2.57
Montenegro,2.55
Bahamas,2.26
Iceland,2.11
Maldives,1.91
Guinea-Bissau,1.8
Malta,1.54
Barbados,1.25
Eritrea,1.24
Gambia,1.1
Timor-Leste,1.1
Eswatini,0.96
Costa Rica,0.95
Seychelles,0.62
Cape Verde,0.56
Antigua and Barbuda,0.53
Djibouti,0.49
Andorra,0.46
Samoa,0.43
Sao Tome and Principe,0.35
Comoros,0.32
Grenada,0.3
Palau,0.29
Saint Vincent and the Grenadines,0.28
Saint Kitts and Nevis,0.26
Saint Lucia,0.24
Marshall Islands,0.19
Tonga,0.19
Vanuatu,0.18
Dominica,0.16
Micronesia,0.15
Liechtenstein,0.14
Cook Islands,0.08
Kiribati,0.08
Bhutan,0.07
Nauru,0.07
Tuvalu,0.01
Niue,0.0
Fiji,-0.65
Ghana,-8.82
